1	16	9	0	0			0		2018-12-19 14:20:24	0	\N	\N
2	17	9	0	0			0		2018-12-19 14:20:24	0	\N	\N
3	18	9	0	0			0		2018-12-19 14:20:24	0	\N	\N
4	19	9	0	0			0		2018-12-19 14:20:24	0	\N	\N
5	22	9	0	0			0		2018-12-19 14:45:53	0	\N	\N
6	34	9	0	0			0		2018-12-27 18:12:50	0	\N	\N
7	36	10	0	0			0		2018-12-27 18:35:26	0	\N	\N
8	45	9	0	0			0		2019-02-16 14:51:37	0	\N	\N
9	47	9	0	0			0		2019-02-16 15:01:19	0	\N	\N
10	51	9	0	0			0		2019-02-16 16:33:00	0	\N	\N
11	53	9	0	0			0		2019-02-16 16:59:04	0	\N	\N
12	60	9	0	0			0		2019-08-30 23:42:29	0	\N	\N
13	65	9	0	0			0		2019-09-11 15:15:28	0	\N	\N
14	67	9	0	0			0		2019-09-11 15:15:37	0	\N	\N
16	73	9	0	0			0		2019-09-12 14:29:34	0	\N	\N
17	75	9	0	0			0		2019-09-12 15:01:13	0	\N	\N
18	89	9	0	0			0		2020-06-10 09:35:52	0	\N	\N
19	91	9	0	0			0		2020-06-10 10:07:26	0	\N	\N
